更新日期,#genre#
2026-09-15,https://cnb.cool/junchao.tang/jtv/-/git/raw/main/Pictures/Robot.mp4
📺┃广东频道,#genre#
广州综合,http://r.jdshipin.com/iR6Gq$IPV4•线路1
广州综合,http://r.jdshipin.com/snhya$IPV4•线路2
广州综合,http://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=c8dbe86d6f86eb1a21999ab479fd5667&txTime=18d3c4690e8$IPV4•线路3
广州新闻,http://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=d2c2db0b598c02ec1b5623728434d367&txTime=18d57929bd3$IPV4•线路1
广州新闻,http://php.jdshipin.com:8880/gztv.php?id=xinwen$IPV4•线路2
广州新闻,http://113.95.132.166:554/rtp/239.253.43.72:5146$IPV4•线路3
广东珠江,http://m.061899.xyz/mg/gdzj$IPV4•线路1
广东珠江,http://r.jdshipin.com/sE5vO$IPV4•线路2
广东珠江,http://cdn2.163189.xyz/live/gdzj/stream.m3u8$IPV4•线路3
广州影视频道,http://tencentplaygzrb01.gztv.com/live/yingshi.m3u8$IPV4•线路1
广州影视频道,http://php.jdshipin.com:8880/gztv.php?id=yingshi$IPV4•线路2
广州影视频道,https://stream1.freetv.fun/yan-zhou-ying-shi-6.ctv$IPV4•线路3
广州电视台法治频道,http://php.jdshipin.com:8880/gztv.php?id=fazhi$IPV4•线路1
广州电视台法治频道,http://tencentplay.gztv.com/live/fazhi.m3u8$IPV4•线路2
广州南国都市频道,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=babbcbacdbcf13a3311a264e4dd66b8d&txTime=191b60b41a7$IPV4•线路1
广州南国都市频道,http://tencentplaygsm.gztv.com/live/nanguodushi.m3u8$IPV4•线路2
广州南国都市频道,https://tencentplaygzrb01.gztv.com/live/nanguodushi.m3u8$IPV4•线路3
4K南国都市频道,http://r.jdshipin.com/nWaZO$IPV4
广州竞赛频道,http://tencentplaygzrb01.gztv.com/live/jingsai.m3u8$IPV4•线路1
广州竞赛频道,http://php.jdshipin.com:8880/gztv.php?id=jingsai$IPV4•线路2
广州竞赛频道,https://stream1.freetv.fun/yan-zhou-jing-sai-34.ctv$IPV4•线路3
广东体育,http://m.061899.xyz/mg/gdty$IPV4•线路1
广东体育,http://r.jdshipin.com/LiYdg$IPV4•线路2
广东体育,http://cdn2.163189.xyz/live/gdty/stream.m3u8$IPV4•线路3
广东民生,http://m.061899.xyz/mg/gdms$IPV4•线路1
广东民生,http://119.32.12.17:2901/udp/224.1.100.4:11111$IPV4•线路2
